Polling_District,Address,Easting,Northing
A,"Towncentric, 18A St Georges Square, Gravesend, Kent, DA11 OTB",564660,174295
AA,"Kings Farm Primary Infants School, Cedar Avenue, Gravesend, Kent, DA12 5JT",565193,171528
AB,"Kings Farm Primary Infants School, Cedar Avenue, Gravesend, Kent, DA12 5JT",565193,171528
AC,"Mike Spring Court, Valley Drive, Gravesend, Kent, DA12 5DS",565741,171668
B,"British Red Cross Hall, 36 Pelham Road, Gravesend, Kent, DA11 0HZ",564217,173725
BA,"St. Marks Church, London Road, Northfleet, Gravesend, Kent, DA11 9NH",563625,174128
BAA,"St Botolph's C Of E School, Dover Road, Northfleet, Kent, DA11 9PL",562965,173732
BB,"Northfleet Veterans Club, The Hill, Northfleet, Kent, DA11 9ES",562422,174170
BC,"Ebbsfleet Rainbow Centre, Rose Street, Northfleet, Kent, DA11 9EQ",561781,174394
BD,"Cygnet Leisure Centre, Old Perry Street, Northfleet, Kent, DA11 8BU",563151,172953
BD,"Eastgate Centre, 141 Springhead Parkway, Northfleet, Kent, DA11 8AD",561880,172986
BF,"Copperfield Academy, Dover Road East, Northfleet, Kent, DA11 0RB",563603,173404
BG,"Methodist Church Hall, Dene Holm Road, Northfleet, Kent, DA11 8LG",562937,172266
BH,"Nightingale Close Community Room, Nightingale Close, Northfleet, Kent, DA11 8PW",563379,171992
BI,"All Saints Parish Centre, Perry Street, Northfleet, Kent, DA11 8RD",563523,173115
BJ,"Westcott Avenue Community Hall, Shears Green Community Centre, Westcott Avenue, Northfleet, Kent, DA11 7HP",564003,172361
BK,"Istead Rise Community Centre, Worcester Close, Istead Rise, Gravesend, Kent, DA13 9LB",563608,170342
C,"Claremont Place Community Room, Claremont Place, 47 Cutmore Street, Gravesend, Kent, DA11 0PS",564525,173747
CA,"The Meadow Rooms, The Street, Cobham, DA12 3BZ",566893,168509
CB,"St Marys Church Rooms, Manor Road, Sole Street, Cobham, DA13 4NS",565670,167637
CC,"The Meadow Rooms, The Street, Cobham,  DA12 3BZ",566893,168509
CD,"Shorne Village Hall, 16 The Street, Shorne, DA12 3EA",569092,171177
CE,"Riverview Junior School, Cimba Wood, Gravesend, Kent, DA12 4SD",566276,171553
CF,"Chinnery Court, Chinnery Court, Wrotham Road, Meopham, Kent, DA13 0JT",564403,166984
CG,"Meopham Scout Hall, Judson's Recreation Ground, Hook Green, Wrotham Road, Meopham, Kent",564509,167345
CH,"Culverstone Community Hall, Culverstone Community Centre, Whitepost Lane, Culverstone Green, Meopham, Kent, DA13 0TN",563624,162693
CI,"Vigo Village Hall, The Bay, Vigo Village, Kent, DA13 0TD",564425,161646
CJ,"Vigo Village Hall, The Bay, Vigo Village DA13 0TD",564425,161646
CK,"Harvel Village Hall, David Street, Harvel Street, Harvel, Meopham, Kent, DA13 0DE",565084,163236
CL,"Merston Court, Merston Court, Hermitage Road, Higham, Kent, ME3 7DE",571280,171417
CM,"Higham Memorial Hall, School Lane, Higham, Kent, ME3 7JL",571437,172137
D,"St. Marks Church, London Road, Northfleet, Gravesend, Kent, DA11 9NH",563625,174128
E,"Chantry Primary School, Ordnance Road, Gravesend, Kent, DA12 2RL",565390,174034
F,"St Peter & Paul’s Church, East Milton Road, Gravesend, Kent, DA13 2JL",565894,173831
G,"Riverside Family Learning, Riverside Community Resource Trust, Dickens Road, Gravesend, Kent, DA12 2JY",566427,173419
H,"St. John's Catholic Primary School, Rochester Road, Gravesend, Kent, DA12 2SY",565990,173541
I,"Wesley Methodist Hall, 4 Wilfred Street, Gravesend, Kent, DA12 2HA",564972,174132
J,"Christ Church, Old Road East, Gravesend, Kent, DA12 1NR",565323,173006
K,"Salvation Army Citadel, The Grove, Gravesend, Kent",564934,173847
L,"Veterans Club, Clarence Place, Gravesend, Kent, DA12 1LB",564861,173487
M,"The Almshouses Boardroom The Boardroom, St Thomas's Almshouses, Old Road West, Gravesend, DA11 7LA",564515,173140
N,"St Paul's United Reform Church, Kings Drive, Gravesend, Kent",564790,172065
O,"Gerald Miskin Hall, Hever Court Road, Gravesend, Kent, DA12 5EG",565152,170903
P,"Chalk Church Parish Hall, Lower Higham Road, Chalk, Gravesend, Kent, DA12 2NG",566956,173016
Q,"Westcourt School Community Hall, Silver Road, Jubilee Crescent, Gravesend, Kent, DA12 4JG",566320,172818
R,"Westcourt School Community Hall, Silver Road, Jubilee Crescent, Gravesend, Kent, DA12 4JG",566320,172818
S,"St. Aidans Church Hall, St Gregory's Crescent, Gravesend, Kent, DA12 4JL",566107,172583
T,"St. Aidans Church Hall, St Gregory's Crescent, Gravesend, Kent, DA12 4JL",566107,172583
U,"Riverview Junior School, Cimba Wood, Gravesend, Kent, DA12 4SD",566276,171553
V,"Riverview Junior School,Cimba Wood, Gravesend, Kent, DA12 4SD",566276,171553
W,"Whitehill Primary School, Sunshine Lodge, Sun Lane, Gravesend, DA12 5HN",565236,172392
X,"Pegasus Court, Sun Lane, Gravesend, Kent, DA12 5QA",565344,172369
Y,"Mobile Polling Station, Wye Road, Gravesend",565756,172636
Z,"Singlewell Primary School, Mackenzie Way, Gravesend, Kent, DA12 5TY",565793,170786
