District	Name	Address	postcode	UPRN	Phone	easting	northing	long	lat
AC	Acacia Nursery School	"Cecil Road, London, E11 3HE"	E11 3HE	100023583817	020 8558 4444	539526	186445	0.012985	51.559129
SC	All Saints Church Hall	"47 Melbourne Road, London, E10 7HF"	E10 7HF	100022569011	020 8558 8139	537631	187735	-0.013832	51.571188
FB	Belmont Park School	"101 Leyton Green Road, London, E10 6DB"	E10 6DB	100022956984	020 85560006	538125.89	188236.345	-0.006498	51.575572
NB	Blackhorse Road Baptist Church	63 Blackhorse Road	E17 7AS	100022984012	020 8521 4997				
AA	Cann Hall Methodist Church	"296 Cann Hall Road, London, E11 3NN"	E11 3NN	200001430381	2085398072	539871	186220	0.017869	51.557021
RB	Central Baptist Church Hall	"101 Orford Road, E17 9QR"	E17 9QR	100022985169	7864683641	537586	188775	-0.014074	51.580545
LB	Chase Lane Primary School	"York Road, London, E4 8LA"	E4 8LA	200001430164	0208 529 1415	536906	192474	-0.022439	51.613954
LC	Chingford Hall Primary School	"4 Burnside Avenue, London, E4 8YJ"	E4 8YJ	100022999969	2085277433	536931	191785	-0.022347	51.607756
HA	Chingford Mount Baptist Church	"1A Leadale Avenue, Chingford, London, E4 8AT"	E4 8AT	100023000568	7941878867	537310	193476	-0.016214	51.62286
RA	Church Hill Nursery School	"47 Woodbury Road, London, E17 9SB"	E17 9SB	100022986416	020 8520 4919	537687	189179	-0.012458	51.584151
CC	Connaught School Annexe	 Madeira Road Leytonstone 	E11 4AG 	2.00001E+11	020 8988 2891	539036	187172	0.006207	51.565783
EB	Dawlish Primary School	"4 Jesse Road, London, E10 6NN"	E10 6NN	100022955688	020 8558 1566	538136	187041	-0.006822	51.564827
DC	Downsell Primary School	"Downsell Road, London, E15 2BS"	E15 2BS	200001417289	0208 529 1415	538810	185846	0.002425	51.553922
DD	Ellingham Employment Services	"5 Ellingham Road, London, E15 2AU"	E15 2AU	200001417650	020 8519 5234	538783	185619	0.001946	51.551889
RC	Emmanuel Community School	"The Drive, London, E17 3BN"	E17 3BN	 	2085200775				
BD	George Mitchell	"Burchell Road, London, E10 5AZ"	E10 5AZ	100022953675	020 8539 6198	537750	187465	-0.012222	51.568732
BB	Grange Park United Reform Church	"Grange Park Road, London, E10 5EP"	E10 5EP	200001419294	7949143240	537913	186887	-0.010098	51.563498
FC	Gwyn Jones Primary School	"Hainault Road, London, E11 1EU"	E11 1EU	100022960076	0208 556 7904	538917	187925	0.004789	51.57258
IA	Handsworth Nursery Unit (Handsworth Day Nursery)	"Handsworth Avenue, London, E4 9PJ"	E4 9PJ	100023001197	2085275991	538734	191817	0.003689	51.607602
ND	Harmony Hall	"10 Truro Road, London, E17 7BY"	E17 7BY	10009143437	7588632519	536857	189089	-0.024467	51.583545
MB	Henry Maynard Junior School	"Addison Road, E17 9LT"	E17 9LT	100022986415	2085203042	538127	188967	-0.006194	51.582138
GD	Highams Park United Reform Church Hall (38 Malvern Avenue - number 40 not listed)	"40 Malvern Avenue, London, E4 9NP"	E4 9NP	200001431608	7940725344	538682	191240	0.00271	51.602429
PC	Hillyfield Primary School	"Higham Hill Road, London, E17 6ED"	E17 6ED	200001421082	2085291415	536285	189982	-0.032372	51.591709
AB	Jenny Hammond Primary School	"Worsley Road, London, E11 3JL"	E11 3JL	10009144941	020 8519 3977	539306	185915	0.009603	51.55442
HB	Kings Road Baptist Church	"16 Kings Road, Chingford, E4 7EY"	E4 7EY	200001421625	2085243694	538644	194165	0.003319	51.628725
SA	Lea Bridge Library	"Lea Bridge Road, London, E10 7HU"	E10 7HU	100022958588	2084961153	537035	187590	-0.022484	51.57003
DB	"Leytonstone Learning Link (Adult traning Centre, 23 North Birkbeck Rd)"	"North Birkbeck Road, London, E11 4JF"	E11 4JF	200001430475	2084961065	538851	186134	0.00313	51.556501
CA	Leytonstone Library Hall	"6 Church Lane, London, E11 1HG"	E11 1HG	100023583898	020 8496 1190/1189	539430	187392	0.011976	51.567663
IB	Longshaw Primary School	"Longshaw Road, London, E4 6LH"	E4 6LH	100022564408	020 8529 5693	538891	193249	0.006522	51.620432
QA	Low Hall Nursery School	"Low Hall Lane, London, E17 8BE"	E17 8BE	100022985098	020 8520 1689	536563	188420	-0.028968	51.577604
QB	Mission Grove South Site (site 2)	Netley Road	E17 7QB	100022983050	2085096200	536913	188843		
EC	Newport School	"Newport Road, London, E10 6PJ"	E10 6PJ	100023584907	020 8539 4552	538481	186858	-0.001919	51.563098
JC	North Chingford Methodist Church	"Station Road, Waltham Forest, London, E4 7BJ"	E4 7BJ	200001426912		538814	194374	0.005857	51.630561
GB	Oakhill Primary School	"Alders Avenue, Woodford Green, Essex, IG8 9PY"	IG8 9PY	200001413368	2085273309	539109.211	191623.127	0.009027	51.605767
MA	Peterhouse Centre	"122 Forest Rise, London, E17 3PW"	E17 3PW	100022979768	2085091811	538963	189619	0.006123	51.587792
OB	Priory Court Community Centre	"Priory Court Estate, London, E17 5NB"	E17 5NB	10009144740	020 85319990	536759	190164	-0.025462	51.59323
HC	Ridgeway Evangelical Church	"College Gardens, London, E4 6PU"	E4 6PU	200001431153	020 8524 6545	538155	194155	-0.003746	51.628756
BA	Riverley Primary School	"40 Park Road, London, E10 7BZ"	E10 7BZ	10009143166	2085291415	537411.8	187139.1	-0.017226	51.565886
KA	Rush Croft Foundation School 	"Rushcroft Road, London, E4 8SG"	E4 8SG	100023000529	020 8498 4663	537754	191405	-0.010618	51.60414
JA	Scout Group Hall	"Whitehall Gardens, London, E4 6EH"	E4 6EH	100023585283	020 85292570	539018	194146	0.008712	51.628462
GC	Selwyn Infants` School	"Selwyn Avenue, London, E4 9NF"	E4 9NF	100022583244	020 8527 3814	538136	191542	-0.005051	51.605278
MD	Shern Hall Methodist Church	"Shern Hall Street, London, E17 9HX"	E17 9HX	200001426519	7982419121	538426	188969	-0.001881	51.582083
TD	Sir George Monoux	"George Monoux, 190 Chingford Rd, London, E17 5AA"	E17 5AA	200001415892	020 8523 3544	537680	190387	-0.012085	51.595009
TA	Walthamstow Assembly Hall  	"Forest Road, London, E17 4JF"	E17 4JF	200001418720	2085273944	537790	189870		
KC	South Chingford Congregation Church	161 Chingford Mount Road	E4 8LT	200001415661	0208524 6753	537304	192369	51.612377  	-0.018374
KB	South Chingford Methodist Church Hall	"New Road, Chingford, E4 9EU"	E4 9EU	100023001509	020 8531 3197	537436	192733	-0.014686	51.616152
TB	Spruce Hill Baptist Church Hall	"155 Brookscroft Road, London, E17 4JP"	E17 4JP	100022980904	020 8531 2056	538004	190524	-0.007356	51.596161
ID	St Andrews Church Hall	Chingford Lane	rd Lane	100023054808	2085040266	539921	192156	0.020956	51.610355
KD	St Anne`s Church Main Hall	"Larkshall Road, London, E4 6NP"	E4 6NP	100022997913	020 8524 2655	538614	192831	0.002358	51.616744
CB	St John Ambulance Hall	"66 Queens Road, LONDON, E11 1BB"	E11 1BB	200001431203		539171	187558	0.008307	51.569219
NA	St Michael and All Angels Church Hall	"Northcote Road, Walthamstow, London, E17 6PQ"	E17 6PQ	200001454202	020 8521 9345	536585	189188	-0.028352	51.5845
RD	St Stephen`s Church Hall 	"Copeland Road, London, E17 9DP"	E17 9DP	100022985167	2088872895	537881	188499	-0.009927	51.577993
OA	Stoneydown Park Primary School Infant Site	Warner Road	 E17 7DY	 	 	536243	189203		
SB	Sybourn Nursery Unit (Sybourn Childrens Centre)	"Perth Road, London, E10 7PB"	E10 7PB	10009143654		536467	187150	-0.030847	51.566213
FA	The Cornerstone Community Centre	"149 Canterbury Road, London, Leyton, E10 6EH"	E10 6EH	200001438542	0208 5582 121	538555	188144.3	-0.000345	51.57464
DA	The Epicentre	"41 West Street, London, E11 4LJ"	E11 4LJ	100022963781	020 8539 2432	539115	186441	0.007057	51.559195
OC	The Lloyd Park Centre	"Winns Avenue Entrance, London, E17 5JW"	E17 5JW	200001446130	2085319522	537108	190137	-0.020437	51.592902
NC	The Mill 	7-11 Coppermill Lane 	E17 7HA	100022984117	 	536277 	188772		
BC	The Score Complex (Centre)	"100 Oliver Road, London, E10 5JY"	E10 5JY	10009141597	020 8539 8474	537733.826	186482.712	-0.01284	51.559908
QC	Thomas Gamuel Primary School	"1Colchester Road, London, E17 8LG"	E17 8LG	100022984174	2085207031	537162	188106	-0.020451	51.574636
GA	Thorpe Hall Junior School	"Hale End Road, London, E17 4DP"	E17 4DP	100022980897	2085274062	538521	190659	0.000157	51.597248
EA	Trinity Methodist Church	"St Mary Road, Leyton, E10 5PW"	E10 5PW	10024422933	2085567928	538160	186432	-0.006715	51.559348
LA	Waltham Forest Resource Hub(North)	"Former South Chingford Library, 58 Hall Lane, London, E4 8EU"	E4 8EU	100023000650	2085556623	537106	192770	-0.019436	51.616565
IC	Whitehall Primary School	"Normanton Park, London, E4 6ES"	E4 6ES	100022998883	2085293813	539324	193740	0.012969	51.624738
PB	Whittingham Primary Academy	"340 Higham Hill Road, London, E17 5QX"	E17 5QX	100022981601	2085233228	536198	190596	-0.033389	51.597248
OD	William Morris Community Centre	"6-8 Greenleaf Road, London, E17 6QQ"	E17 6QQ	100023697148	2085205021	537114	189486	-0.020605	51.58705
PA	William Morris School (William Morris Special School)	"Folly Lane, London, E17 5NT"	E17 5NT	200001418249	020 8503 2225	536379.1	190897.8	-0.030658	51.599916
TC	Winchester Road Methodist Church Hall	"82 Winchester Road, London, E4 9JP"	E4 9JP	100023001461	7474319140	538385	191330	-0.001541	51.603311
MC	Wood Street Library	"Forest Road, Walthamstow, E17 4AA"	E17 4AA	100022981050	2084961156	538347	189966	-0.002627	51.591062
JB	Yardley Primary School	"Hawkwood Crescent, London, E4 7PH"	E4 7PH	100022999679	020 8529 3671	537956	195499	-0.00609	51.640883
